iter	Passed	Remaining
0	1	128
1	2	120
2	3	116
3	4	107
4	5	105
5	6	104
6	7	102
7	8	101
8	9	101
9	11	99
10	12	98
11	13	97
12	14	96
13	15	95
14	16	94
15	17	93
16	19	92
17	20	91
18	21	90
19	22	89
20	23	88
21	24	87
22	25	86
23	26	85
24	27	83
25	29	82
26	30	81
27	31	81
28	32	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	74
34	39	73
35	40	72
36	41	71
37	43	70
38	44	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	49	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	50
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	82	22
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
