iter	Passed	Remaining
0	155	155544
1	156	78093
2	157	52177
3	157	39341
4	158	31544
5	158	26326
6	159	22602
7	159	19809
8	160	17666
9	161	15948
10	162	14567
11	162	13417
12	163	12447
13	164	11582
14	165	10841
15	165	10181
16	166	9623
17	167	9114
18	167	8654
19	169	8281
20	170	7960
21	171	7616
22	171	7289
23	172	6994
24	172	6726
25	172	6471
26	173	6258
27	174	6049
28	174	5843
29	174	5651
30	175	5480
31	176	5327
32	176	5178
33	177	5038
34	177	4906
35	178	4780
36	178	4655
37	179	4543
38	179	4430
39	180	4341
40	181	4248
41	182	4153
42	182	4063
43	183	3981
44	184	3905
45	185	3844
46	185	3768
47	186	3705
48	187	3637
49	187	3570
50	188	3512
51	189	3447
52	189	3384
53	190	3333
54	190	3274
55	190	3217
56	191	3163
57	191	3112
58	192	3063
59	192	3016
60	193	2972
61	193	2927
62	193	2883
63	194	2843
64	194	2803
65	195	2763
66	196	2732
67	196	2696
68	197	2660
69	198	2634
70	198	2599
71	199	2566
72	199	2537
73	200	2505
74	200	2475
75	201	2446
76	202	2423
77	202	2396
78	203	2368
79	203	2339
80	203	2311
81	204	2285
82	205	2264
83	205	2239
84	206	2219
85	206	2195
86	207	2172
87	207	2150
88	208	2129
89	208	2108
90	208	2087
91	209	2066
92	210	2050
93	210	2031
94	211	2016
95	212	1997
96	212	1981
97	213	1964
98	213	1946
99	214	1933
100	215	1918
101	216	1909
102	217	1895
103	218	1885
104	219	1867
105	219	1852
106	219	1835
107	220	1823
108	221	1808
109	221	1791
110	221	1775
111	221	1759
112	222	1745
113	222	1731
114	223	1722
115	224	1710
116	225	1698
117	225	1688
118	226	1678
119	227	1666
120	227	1655
121	228	1644
122	229	1634
123	229	1622
124	230	1610
125	230	1597
126	230	1586
127	231	1574
128	231	1565
129	232	1558
130	233	1551
131	234	1541
132	234	1530
133	235	1520
134	235	1509
135	235	1499
136	236	1488
137	236	1477
138	237	1468
139	237	1459
140	237	1449
141	238	1439
142	238	1430
143	238	1420
144	239	1410
145	239	1402
146	240	1393
147	240	1383
148	240	1374
149	241	1366
150	241	1358
151	242	1352
152	242	1343
153	243	1336
154	244	1331
155	245	1326
156	245	1318
157	246	1311
158	246	1304
159	246	1296
160	247	1289
161	247	1282
162	248	1275
163	249	1271
164	249	1264
165	250	1258
166	250	1251
167	251	1244
168	251	1237
169	251	1229
170	252	1222
171	252	1215
172	252	1208
173	253	1203
174	253	1197
175	254	1191
176	254	1185
177	255	1180
178	256	1175
179	256	1170
180	257	1164
181	257	1158
182	258	1155
183	259	1150
184	260	1145
185	260	1139
186	261	1137
187	262	1131
188	262	1126
189	262	1121
190	263	1115
191	263	1109
192	264	1105
193	264	1099
194	265	1095
195	265	1089
196	266	1084
197	266	1079
198	267	1075
199	267	1070
200	268	1067
201	269	1064
202	269	1059
203	270	1054
204	271	1052
205	271	1048
206	272	1045
207	273	1043
208	274	1040
209	275	1038
210	276	1033
211	276	1028
212	277	1024
213	277	1019
214	277	1014
215	278	1011
216	279	1007
217	280	1005
218	281	1002
219	281	998
220	282	994
221	282	990
222	283	987
223	283	982
224	284	979
225	284	975
226	285	971
227	286	970
228	287	968
229	288	966
230	289	963
231	289	959
232	290	957
233	291	954
234	292	950
235	292	946
236	292	942
237	293	938
238	293	935
239	294	931
240	294	928
241	295	924
242	295	920
243	295	916
244	296	912
245	296	909
246	297	905
247	297	902
248	297	898
249	298	895
250	298	891
251	299	890
252	300	887
253	300	883
254	301	881
255	302	879
256	303	877
257	304	875
258	305	872
259	305	870
260	306	867
261	307	865
262	307	862
263	308	860
264	309	857
265	309	855
266	310	853
267	311	850
268	312	848
269	312	845
