iter	Passed	Remaining
0	141	141092
1	145	72389
2	148	49396
3	152	37894
4	155	30997
5	159	26361
6	162	23101
7	166	20680
8	169	18652
9	171	16980
10	175	15751
11	177	14630
12	179	13639
13	181	12771
14	183	12028
15	184	11346
16	185	10736
17	186	10195
18	188	9711
19	189	9279
20	190	8897
21	191	8529
22	192	8179
23	193	7858
24	193	7564
25	194	7293
26	195	7041
27	196	6818
28	197	6600
29	197	6396
30	198	6203
31	199	6022
32	199	5855
33	200	5694
34	201	5542
35	201	5398
36	202	5265
37	203	5145
38	203	5026
39	204	4918
40	205	4810
41	206	4707
42	207	4608
43	207	4513
44	208	4423
45	209	4336
46	210	4259
47	210	4181
48	211	4104
49	212	4029
50	212	3957
51	213	3888
52	213	3821
53	214	3757
54	215	3695
55	215	3636
56	216	3578
57	217	3526
58	218	3478
59	219	3432
60	219	3383
61	220	3336
62	221	3290
63	221	3246
64	222	3202
65	223	3160
66	223	3118
67	224	3078
68	225	3038
69	225	2999
70	226	2961
71	226	2924
72	227	2889
73	228	2854
74	228	2821
75	229	2788
76	229	2756
77	230	2725
78	231	2696
79	232	2669
80	233	2647
81	234	2630
82	235	2600
83	236	2575
84	237	2551
85	237	2527
86	238	2501
87	238	2476
88	239	2452
89	240	2428
90	240	2404
91	241	2381
92	241	2359
93	242	2337
94	243	2315
95	243	2294
96	244	2273
97	244	2253
98	245	2234
99	246	2215
100	247	2200
101	247	2182
102	248	2168
103	249	2150
104	250	2133
105	251	2117
106	251	2101
107	252	2085
108	253	2068
109	253	2052
110	254	2037
111	254	2021
112	255	2006
113	256	1990
114	256	1976
115	257	1961
116	257	1946
117	258	1933
118	259	1919
119	259	1906
120	260	1892
121	261	1879
122	262	1869
123	262	1857
124	263	1846
125	264	1835
126	265	1822
127	265	1811
128	266	1799
129	267	1787
130	267	1776
131	268	1764
132	268	1752
133	269	1741
134	270	1730
135	270	1719
136	271	1709
137	271	1698
138	272	1688
139	273	1677
140	273	1667
141	274	1656
142	274	1646
143	275	1636
144	275	1627
145	276	1618
146	277	1610
147	278	1602
148	279	1596
149	280	1588
150	280	1579
151	281	1571
152	282	1562
153	282	1554
154	283	1545
155	284	1537
156	284	1529
157	285	1520
158	285	1512
159	286	1504
160	286	1495
161	287	1487
162	288	1479
163	288	1472
164	289	1464
165	290	1457
166	290	1449
167	291	1443
168	292	1437
169	293	1435
170	294	1429
171	295	1422
172	296	1416
173	296	1409
174	297	1402
175	298	1395
176	298	1388
177	299	1382
178	299	1375
179	300	1369
180	301	1362
181	301	1356
182	302	1349
183	302	1343
184	303	1337
185	304	1331
186	304	1324
187	305	1318
188	306	1313
189	306	1308
190	308	1305
191	310	1305
192	311	1301
193	312	1296
194	312	1291
195	313	1286
196	314	1281
197	315	1276
198	315	1270
199	316	1265
200	317	1260
201	317	1254
202	318	1249
203	318	1243
204	319	1238
205	320	1233
206	320	1228
207	321	1223
208	322	1219
209	322	1214
210	323	1210
211	324	1205
212	326	1204
213	326	1200
214	327	1196
215	328	1191
216	329	1187
217	329	1182
218	330	1177
219	330	1173
220	331	1168
221	332	1163
222	332	1159
223	333	1154
224	333	1150
225	334	1145
226	335	1141
227	335	1137
228	336	1134
229	337	1130
230	338	1126
231	339	1123
232	340	1119
233	340	1115
234	341	1111
235	342	1107
236	342	1103
237	343	1099
238	344	1095
239	344	1091
240	345	1087
241	345	1083
242	346	1079
243	347	1075
244	347	1071
245	348	1067
246	348	1063
247	349	1059
248	350	1055
249	351	1053
250	352	1050
251	352	1047
252	353	1044
253	354	1041
254	355	1038
255	356	1034
256	356	1031
257	357	1027
258	357	1024
259	358	1020
260	359	1016
261	359	1013
262	360	1009
263	360	1006
264	361	1002
265	362	999
266	362	996
267	363	993
268	364	990
269	365	987
270	365	984
271	367	982
272	367	979
273	369	977
274	369	975
275	370	971
276	371	968
277	371	965
278	372	962
279	373	959
280	373	956
281	374	953
282	374	949
283	375	946
284	376	943
285	376	940
286	377	937
287	377	934
288	378	931
289	379	928
290	379	925
291	380	922
292	381	919
293	382	917
294	382	915
295	383	913
296	384	910
297	385	907
298	386	905
299	386	902
300	387	899
301	387	896
302	388	893
303	389	891
304	389	888
305	390	885
306	390	882
307	391	879
308	392	877
309	392	874
310	393	871
311	394	868
312	394	866
313	395	863
314	395	861
315	396	858
316	397	856
317	398	854
318	399	852
319	400	850
320	400	847
321	401	845
322	402	843
323	402	840
324	403	837
325	404	835
326	404	832
327	405	830
328	405	827
329	406	825
330	407	822
331	407	820
332	408	818
333	409	815
334	409	813
335	410	810
336	410	808
337	411	806
338	412	804
339	413	803
340	414	801
341	415	799
342	416	796
343	416	794
344	417	792
345	417	789
346	418	787
347	419	785
348	419	782
349	420	780
350	420	778
351	421	775
352	422	773
353	422	771
354	423	769
355	423	766
356	424	764
357	425	762
358	426	760
359	427	759
360	428	757
361	429	756
362	429	754
363	430	752
364	431	750
365	432	748
366	432	746
367	433	744
368	433	742
369	434	739
370	435	737
371	435	735
372	436	733
373	436	731
374	437	729
375	438	727
376	438	725
377	439	723
378	440	721
379	440	719
380	441	717
381	442	715
382	443	714
383	444	712
384	444	710
385	445	708
386	446	707
387	447	705
388	447	703
389	448	701
390	449	699
391	449	697
392	450	695
393	450	693
394	451	691
395	451	689
396	452	687
397	453	685
398	453	683
399	454	681
400	455	679
401	455	678
402	456	676
403	457	675
404	458	674
405	459	672
406	460	670
407	461	669
408	461	667
409	462	665
410	463	663
411	463	661
412	464	659
413	464	657
414	465	656
415	466	654
416	466	652
417	467	650
418	467	648
419	468	646
420	469	645
421	469	643
422	470	641
423	470	639
424	471	638
425	472	636
426	473	635
427	474	634
428	475	632
429	475	630
430	476	629
431	477	627
432	477	625
433	478	623
434	478	622
435	479	620
436	480	618
437	480	616
438	481	615
439	481	613
440	482	611
441	483	610
442	483	608
443	484	606
444	485	604
445	485	603
446	486	602
447	487	601
448	489	600
449	490	598
450	490	597
451	491	595
452	492	594
453	492	592
454	493	591
455	494	589
456	495	588
457	495	586
458	496	585
459	497	583
460	497	581
461	498	580
462	499	578
463	499	577
464	500	575
465	501	574
466	502	573
467	504	573
468	504	571
469	505	570
470	506	568
471	507	567
472	507	565
473	508	564
474	509	562
475	509	561
476	510	559
477	510	557
478	511	556
479	512	554
480	512	553
481	513	551
482	513	550
483	514	548
484	515	547
485	516	545
486	516	544
487	517	543
488	519	542
489	519	541
490	520	539
491	521	538
492	522	537
493	522	535
494	523	534
495	524	532
496	524	531
497	525	529
498	526	528
499	526	526
500	527	525
501	528	524
502	528	522
503	529	521
504	530	519
505	531	518
506	533	518
507	534	517
508	535	516
509	536	515
510	537	514
511	538	513
512	539	511
513	539	510
514	540	509
515	541	507
516	541	506
517	542	504
518	542	503
519	543	501
520	544	500
521	544	498
522	545	497
523	545	495
524	547	495
525	548	494
526	549	493
527	550	492
528	551	490
529	552	489
530	553	488
531	553	487
532	554	486
533	555	484
534	556	483
535	556	482
536	557	480
537	558	479
538	558	477
539	559	476
540	560	475
541	560	473
542	561	472
543	562	471
544	563	470
545	564	469
546	565	467
547	565	466
548	566	465
549	567	464
550	568	462
551	568	461
552	569	460
553	570	459
554	571	457
555	571	456
556	572	455
557	572	453
558	573	452
559	574	451
560	574	449
561	575	448
562	576	447
563	577	446
564	579	446
565	581	445
566	582	445
567	583	444
568	584	442
569	585	441
570	586	440
571	587	439
572	588	438
573	589	437
574	590	436
575	591	435
576	593	435
577	594	433
578	594	432
579	595	431
580	596	429
581	596	428
582	597	427
583	598	426
584	598	424
585	599	423
586	600	422
587	600	420
588	601	419
589	601	418
590	602	416
591	603	415
592	603	414
593	604	413
594	604	411
595	605	410
596	606	409
597	610	410
598	611	409
599	611	407
600	612	406
601	613	405
602	614	404
603	614	403
604	615	401
605	616	400
606	616	399
607	617	398
608	618	396
609	618	395
610	619	394
611	620	393
612	621	392
613	623	391
614	624	390
615	625	389
616	626	388
617	626	387
618	627	386
619	628	385
620	629	383
621	629	382
622	630	381
623	630	380
624	631	378
625	632	377
626	632	376
627	633	375
628	634	373
629	634	372
630	635	371
631	636	370
632	638	370
633	640	369
634	641	368
635	642	367
636	643	366
637	643	365
638	644	364
639	645	362
640	645	361
641	646	360
642	646	359
643	647	358
644	648	356
645	648	355
646	649	354
647	650	353
648	652	352
649	653	351
650	654	350
651	655	349
652	655	348
653	656	347
654	657	346
655	658	345
656	658	343
657	659	342
658	659	341
659	660	340
660	660	338
661	661	337
662	662	336
663	662	335
664	663	334
665	664	333
666	664	331
667	665	330
668	666	329
669	667	328
670	668	327
671	669	326
672	669	325
673	670	324
674	671	323
675	671	322
676	672	320
677	673	319
678	673	318
679	674	317
680	674	316
681	675	314
682	676	313
683	676	312
684	677	311
685	677	310
686	678	309
687	679	308
688	679	306
689	680	305
690	681	304
